# ========================================
# Instrument Type:     SBE37-SM
# Serial Number:           2608
# Sample Interval:          600 s
# Pressure Sensor:         True
# Conductivity Sensor:     True
# Pump:                   False
# Upload Date:     20 Jun 2013  20:35:06
# Data records    :       49552
# ----------------------------------------
# Post-Deployment Calibration Summary:
#
# Temperature
# -----------
#   Serial Number:          2608
#   Calibration Date: 2013-08-10
#
#   Coefficients
#       A0 =  1.790350e-06
#       A1 =  2.720328e-04
#       A2 = -2.036302e-06
#       A3 =  1.471628e-07
#
# Conductivity
# ------------
#   Serial Number:          2608
#   Calibration Date: 2013-08-10
#
#   Coefficients
#       G = -1.017881e+00           PCOR = -9.5700e-08
#       H =  1.447985e-01           TCOR =  3.2500e-06
#       I = -1.966488e-04          WBOTC =  2.0726e-06
#       J =  3.833528e-05
#
# Pressure
# --------
#   Serial Number:          2068
#   Calibration Date: 2013-08-06
#
#   Coefficients
#        PA0 =  1.379326e+00         PTCA0 = -4.757190e+01
#        PA1 =  4.938540e-01         PTCA1 =  7.510678e-02
#        PA2 = -5.560642e-07         PTCA2 =  2.015928e-03
#    PTEMPA0 =                       PTCB0 =  2.463900e+01
#    PTEMPA1 =                       PTCB1 =  4.000000e-04
#    PTEMPA2 =                       PTCB2 =  0.000000e+00
#    POFFSET =  0.000000e+00        PRANGE =  1.015300e+04
# ----------------------------------------
# User-entered Header:
#    ** PA006 SENSOR ON ACOUSTIC RELEASE
# ----------------------------------------
#
# Converted Data: 2012-06-02 12:00 to 2013-06-19 00:00
# ---------------------------------------------------------
#    Date / Time     Temp (C)  P (dbar)   C (S/m)   S (PSU)
# ---------------------------------------------------------
2012-06-02 12:00:14    5.8202    -0.788  -0.00001    0.0026
2012-06-02 12:10:14    5.7502    -0.788  -0.00002    0.0026
2012-06-02 12:20:14    5.8190    -0.788  -0.00002    0.0026
2012-06-02 12:30:14    5.7730    -0.788  -0.00002    0.0026
2012-06-02 12:40:14    5.9063    -0.788  -0.00002    0.0027
2012-06-02 12:50:14    5.6683    -0.788  -0.00002    0.0025
2012-06-02 13:00:14    5.5744    -0.914  -0.00002    0.0024
2012-06-02 13:10:14    5.4640    -0.914  -0.00002    0.0024
2012-06-02 13:20:14    5.3108    -0.914  -0.00002    0.0023
2012-06-02 13:30:14    5.1946    -0.788  -0.00002    0.0022
2012-06-02 13:40:14    5.2617    -0.788  -0.00002    0.0022
2012-06-02 13:50:14    5.3648    -0.788  -0.00001    0.0023
2012-06-02 14:00:14    5.3117    -0.788  -0.00002    0.0023
2012-06-02 14:10:14    5.3583    -0.914  -0.00001    0.0023
2012-06-02 14:20:14    5.4517    -0.788  -0.00001    0.0024
2012-06-02 14:30:14    5.4646    -0.788  -0.00001    0.0024
2012-06-02 14:40:14    5.6031    -0.914  -0.00002    0.0025
2012-06-02 14:50:14    5.4851    -0.788  -0.00001    0.0024
2012-06-02 15:00:14    5.4831    -0.788  -0.00002    0.0024
2012-06-02 15:10:14    5.5123    -0.788  -0.00002    0.0024
2012-06-02 15:20:14    5.5276    -0.788  -0.00002    0.0024
2012-06-02 15:30:14    5.3339    -0.788  -0.00002    0.0023
2012-06-02 15:40:14    5.3042    -0.914  -0.00002    0.0023
2012-06-02 15:50:14    5.3267    -0.788  -0.00002    0.0023
2012-06-02 16:00:14    5.2820    -0.788  -0.00001    0.0022
2012-06-02 16:10:14    5.3328    -0.788  -0.00001    0.0023
2012-06-02 16:20:14    5.5972    -0.788  -0.00002    0.0025
2012-06-02 16:30:14    6.3126    -0.788  -0.00002    0.0029
2012-06-02 16:40:14    6.0898    -0.788  -0.00002    0.0028
2012-06-02 16:50:14    6.0930    -0.788  -0.00002    0.0028
2012-06-02 17:00:14    6.0956    -0.914  -0.00002    0.0028
2012-06-02 17:10:14    6.3880    -0.788  -0.00002    0.0030
2012-06-02 17:20:14    6.3938    -0.788  -0.00002    0.0030
2012-06-02 17:30:14    6.8407    -0.788  -0.00002    0.0033
2012-06-02 17:40:14    7.0351    -0.788  -0.00002    0.0034
2012-06-02 17:50:14    7.0823    -0.788  -0.00003    0.0035
2012-06-02 18:00:14    7.6022    -0.788  -0.00002    0.0038
2012-06-02 18:10:14    7.6405    -0.788  -0.00002    0.0038
2012-06-02 18:20:14    7.5008    -0.788  -0.00003    0.0037
2012-06-02 18:30:14    7.2358    -0.788  -0.00003    0.0036
2012-06-02 18:40:14    7.3464    -0.788  -0.00002    0.0036
2012-06-02 18:50:14    7.9872    -0.788  -0.00002    0.0040
2012-06-02 19:00:14    8.4799    -0.788  -0.00002    0.0044
2012-06-02 19:10:14    9.1417    -0.788  -0.00003    0.0048
2012-06-02 19:20:14    9.6334    -0.788  -0.00003    0.0051
2012-06-02 19:30:14   12.1299    -0.788  -0.00003    0.0065
2012-06-02 19:40:14   13.3886    -0.914  -0.00003    0.0072
2012-06-02 19:50:14   11.5785    -0.914  -0.00004    0.0062
2012-06-02 20:00:14   10.7720    -0.914  -0.00004    0.0057
2012-06-02 20:10:14   11.6110    -0.914  -0.00004    0.0062
2012-06-02 20:20:14   12.4749    -1.039  -0.00004    0.0067
2012-06-02 20:30:14   10.8998    -0.914  -0.00005    0.0058
2012-06-02 20:40:14    9.8818    -0.914  -0.00004    0.0052
2012-06-02 20:50:14   10.7051    -0.788  -0.00004    0.0057
2012-06-02 21:00:14    8.6282    -0.537  -0.00004    0.0044
2012-06-02 21:10:14    6.1058    33.343   3.24319   32.7015
2012-06-02 21:20:14    6.5739    11.635   3.28281   32.7025
2012-06-02 21:30:14    6.6079     9.878   3.28446   32.6890
2012-06-02 21:40:14    6.5530     7.745   3.27870   32.6789
2012-06-02 21:50:14    6.5781     7.619   3.28356   32.7087
2012-06-02 22:00:14    6.5881     8.874   3.28349   32.6977
2012-06-02 22:10:14    6.0159    40.370   3.23675   32.7127
2012-06-02 22:20:14    6.3720    22.928   3.26567   32.7008
2012-06-02 22:30:15    1.8462  2200.436   3.12683   34.5998
2012-06-02 22:40:15    1.5045  4115.811   3.17428   34.6790
2012-06-02 22:50:15    1.5086  4242.925   3.17937   34.6839
2012-06-02 23:00:15    1.5087  4245.937   3.17949   34.6841
2012-06-02 23:10:15    1.5093  4248.823   3.17963   34.6840
2012-06-02 23:20:15    1.5095  4251.333   3.17975   34.6842
2012-06-02 23:30:15    1.5091  4253.465   3.17980   34.6843
2012-06-02 23:40:15    1.5087  4254.595   3.17982   34.6845
2012-06-02 23:50:15    1.5088  4254.972   3.17983   34.6844
2012-06-03 00:00:15    1.5088  4254.846   3.17982   34.6843
2012-06-03 00:10:15    1.5090  4254.720   3.17985   34.6845
2012-06-03 00:20:15    1.5092  4254.720   3.17988   34.6847
2012-06-03 00:30:15    1.5092  4254.595   3.17988   34.6847
2012-06-03 00:40:15    1.5094  4254.595   3.17988   34.6844
2012-06-03 00:50:15    1.5092  4254.846   3.17987   34.6845
2012-06-03 01:00:15    1.5102  4255.097   3.17995   34.6844
2012-06-03 01:10:15    1.5093  4254.846   3.17989   34.6847
