  Research Vessel Schedules from https://www.researchvessels.org

<http://www.researchvessels.org/ship_info_display.asp?shipID=122>
This schedule for this ship was last updated on: 1/15/2002 2:41:34 PM

Field Key
Ship Name 	Departure Date 	Departure Port 	General Area 	Discipline
Endeavor    	3/22/1991    	Narra   	Labrodor Sea   	  	NA4  
Endeavor    	4/27/1991    	Reykjavic   	Iceland   	  	NA5  
Endeavor    	6/9/1991    	Narra   	Bermuda   	  	NA6  
Endeavor    	8/3/1991    	Narra   	Gulf of Maine   	  	NA6  
Endeavor    	8/15/1991    	Narra   	Iceland   	  	NA5  
Endeavor    	9/10/1991    	Reykjavik   	Mid Atlantic   	  	NA7  
Endeavor    	11/8/1991    	Narra   	W. NO. Atlantic   	  	NA6  
Endeavor    	11/16/1991    	Lauderdale   	Gulf Stream   	  	NA6  
Endeavor    	11/28/1991    	Lauderdale   	W. NO. Atlantic   	  	NA6  
Endeavor    	1/13/1992    	NARRA   	South of Bermuda   	  	NA6  
Endeavor    	1/31/1992    	Ancillary   	WHOI to Bermuda   	  	NA6  
Endeavor    	2/28/1992    	NARRA   	Western N. Atlantic   	  	NA6, NA9  
Endeavor    	3/25/1992    	Bermuda   	Sargasso   	  	NA6  
Endeavor    	4/16/1992    	Bermuda   	Sites 'S', 'OFP'   	  	NA6  
Endeavor    	5/1/1992    	Bermuda   	West Atlantic   	  	NA6  
Endeavor    	5/19/1992    	NARRA   	George's Bank   	  	NA6  
Endeavor    	6/8/1992    	NARRA   	Bermuda   	  	NA6  
Endeavor    	7/12/1992    	NARRA   	Cape Hatteras   	  	NA6  
Endeavor    	7/23/1992    	Morehead City   	Blake-Bahama   	  	NA6  
Endeavor    	8/12/1992    	NARRA   	Gulf of Maine   	  	NA6  
Endeavor    	8/19/1992    	Ancillary   	Gulf of Maine   	  	NA6  
Endeavor    	8/24/1992    	NARRA   	Cape Hatteras   	  	NA6  
Endeavor    	9/15/1992    	Bermuda   	Sites 'S', 'OFP'   	  	NA6  
Endeavor    	10/1/1992    	Bermuda   	West Atlantic   	  	NA6  
Endeavor    	6/28/1994    	Narra   	Georges Bank   	  	NA6  
Endeavor    	7/5/1994    	Narra   	Gulf of Maine   	  	NA6  
Endeavor    	7/24/1994    	Narra   	Gulf of Maine   	  	NA6  
Endeavor    	7/26/1994    	Newport   	Out of Service   	  	 
Endeavor    	8/4/1994    	WHOI   	Hatteras   	  	NA6  
Endeavor    	8/16/1994    	Norfolk   	Sargasso   	  	NA6  
Endeavor    	8/31/1994    	Norfolk   	Hatteras   	  	NA6  
Endeavor    	9/9/1994    	Narra   	Gulf of Maine   	  	NA6  
Endeavor    	9/18/1994    	WHOI   	Gulf of Maine   	  	NA6  
Endeavor    	10/1/1994    	WHOI   	Hatteras   	  	NA6  
Endeavor    	10/11/1994    	WHOI   	Grand Banks   	  	NA6  
Endeavor    	10/26/1994    	WHOI   	Georges Bank   	  	NA6  
Endeavor    	11/5/1994    	WHOI   	Grand Banks   	  	NA6  
Endeavor    	12/1/1994    	WHOI   	Hatteras   	  	NA6  
Endeavor    	1/10/1995    	Narra   	Georges Bank   	  	NA6  
Endeavor    	1/29/1995    	Narra   	Georges Bank   	  	NA6  
Endeavor    	2/10/1995    	Narra   	Georges Bank   	  	NA6  
Endeavor    	2/23/1995    	Narra   	Georges Bank   	  	NA6  
Endeavor    	3/13/1995    	Narra   	Georges Bank   	  	NA6  
