# ========================================
# Instrument Type:     SBE37-SM
# Serial Number:           2608
# Sample Interval:          600 s
# Pressure Sensor:         True
# Conductivity Sensor:     True
# Pump:                   False
# Upload Date:     20 Jun 2013  20:35:06
# Data records    :       49552
# ----------------------------------------
# Pre-Deployment Calibration Summary:
#
# Temperature
# -----------
#   Serial Number:          2608
#   Calibration Date: 2012-03-23
#
#   Coefficients
#       A0 = -3.870793e-05
#       A1 =  2.814739e-04
#       A2 = -2.768234e-06
#       A3 =  1.660288e-07
#
# Conductivity
# ------------
#   Serial Number:          2608
#   Calibration Date: 2012-03-23
#
#   Coefficients
#       G = -1.018790e+00           PCOR = -9.5700e-08
#       H =  1.451624e-01           TCOR =  3.2500e-06
#       I = -3.018774e-04          WBOTC =  2.0726e-06
#       J =  4.583342e-05
#
# Pressure
# --------
#   Serial Number:          2068
#   Calibration Date: 2012-03-21
#
#   Coefficients
#        PA0 =  3.085684e+00         PTCA0 = -3.533923e+01
#        PA1 =  4.945454e-01         PTCA1 =  1.260641e-01
#        PA2 = -5.709650e-07         PTCA2 =  6.986061e-03
#    PTEMPA0 =                       PTCB0 =  2.463900e+01
#    PTEMPA1 =                       PTCB1 =  4.000000e-04
#    PTEMPA2 =                       PTCB2 =  0.000000e+00
#    POFFSET =  0.000000e+00        PRANGE =  1.015300e+04
# ----------------------------------------
# User-entered Header:
#    ** PA006 SENSOR ON ACOUSTIC RELEASE
# ----------------------------------------
#
# Converted Data: 2012-06-02 12:00 to 2013-06-19 00:00
# ---------------------------------------------------------
#    Date / Time     Temp (C)  P (dbar)   C (S/m)   S (PSU)
# ---------------------------------------------------------
2012-06-02 12:00:14    5.8215    -0.788   0.00005    0.0026
2012-06-02 12:10:14    5.7515    -0.788   0.00004    0.0025
2012-06-02 12:20:14    5.8203    -0.788   0.00004    0.0025
2012-06-02 12:30:14    5.7743    -0.788   0.00004    0.0025
2012-06-02 12:40:14    5.9076    -0.788   0.00004    0.0026
2012-06-02 12:50:14    5.6696    -0.788   0.00004    0.0024
2012-06-02 13:00:14    5.5757    -0.914   0.00004    0.0024
2012-06-02 13:10:14    5.4654    -0.914   0.00004    0.0023
2012-06-02 13:20:14    5.3121    -0.914   0.00004    0.0022
2012-06-02 13:30:14    5.1960    -0.788   0.00004    0.0021
2012-06-02 13:40:14    5.2631    -0.788   0.00004    0.0022
2012-06-02 13:50:14    5.3662    -0.788   0.00005    0.0023
2012-06-02 14:00:14    5.3131    -0.788   0.00004    0.0022
2012-06-02 14:10:14    5.3596    -0.914   0.00005    0.0023
2012-06-02 14:20:14    5.4530    -0.788   0.00005    0.0023
2012-06-02 14:30:14    5.4659    -0.788   0.00005    0.0023
2012-06-02 14:40:14    5.6044    -0.914   0.00004    0.0024
2012-06-02 14:50:14    5.4865    -0.788   0.00005    0.0023
2012-06-02 15:00:14    5.4844    -0.788   0.00004    0.0023
2012-06-02 15:10:14    5.5136    -0.788   0.00004    0.0023
2012-06-02 15:20:14    5.5289    -0.788   0.00004    0.0023
2012-06-02 15:30:14    5.3352    -0.788   0.00004    0.0022
2012-06-02 15:40:14    5.3055    -0.914   0.00004    0.0022
2012-06-02 15:50:14    5.3280    -0.788   0.00004    0.0022
2012-06-02 16:00:14    5.2833    -0.788   0.00005    0.0022
2012-06-02 16:10:14    5.3342    -0.788   0.00005    0.0022
2012-06-02 16:20:14    5.5985    -0.788   0.00004    0.0024
2012-06-02 16:30:14    6.3139    -0.788   0.00004    0.0029
2012-06-02 16:40:14    6.0911    -0.788   0.00004    0.0027
2012-06-02 16:50:14    6.0943    -0.788   0.00004    0.0027
2012-06-02 17:00:14    6.0969    -0.914   0.00004    0.0027
2012-06-02 17:10:14    6.3893    -0.788   0.00004    0.0029
2012-06-02 17:20:14    6.3951    -0.788   0.00004    0.0029
2012-06-02 17:30:14    6.8420    -0.788   0.00004    0.0032
2012-06-02 17:40:14    7.0363    -0.788   0.00004    0.0033
2012-06-02 17:50:14    7.0836    -0.788   0.00003    0.0033
2012-06-02 18:00:14    7.6034    -0.788   0.00004    0.0037
2012-06-02 18:10:14    7.6417    -0.788   0.00004    0.0037
2012-06-02 18:20:14    7.5020    -0.788   0.00003    0.0036
2012-06-02 18:30:14    7.2370    -0.788   0.00003    0.0034
2012-06-02 18:40:14    7.3476    -0.788   0.00004    0.0035
2012-06-02 18:50:14    7.9884    -0.788   0.00004    0.0039
2012-06-02 19:00:14    8.4811    -0.788   0.00004    0.0042
2012-06-02 19:10:14    9.1428    -0.788   0.00003    0.0046
2012-06-02 19:20:14    9.6345    -0.788   0.00003    0.0049
2012-06-02 19:30:14   12.1308    -0.788   0.00003    0.0063
2012-06-02 19:40:14   13.3894    -0.914   0.00003    0.0069
2012-06-02 19:50:14   11.5794    -0.914   0.00002    0.0060
2012-06-02 20:00:14   10.7730    -0.914   0.00002    0.0055
2012-06-02 20:10:14   11.6119    -0.914   0.00002    0.0060
2012-06-02 20:20:14   12.4758    -1.039   0.00002    0.0065
2012-06-02 20:30:14   10.9008    -0.914   0.00001    0.0056
2012-06-02 20:40:14    9.8828    -0.914   0.00002    0.0050
2012-06-02 20:50:14   10.7061    -0.788   0.00002    0.0055
2012-06-02 21:00:14    8.6293    -0.537   0.00002    0.0043
2012-06-02 21:10:14    6.1071    33.343   3.24269   32.6959
2012-06-02 21:20:14    6.5752    11.635   3.28229   32.6967
2012-06-02 21:30:14    6.6092     9.878   3.28394   32.6833
2012-06-02 21:40:14    6.5543     7.745   3.27818   32.6732
2012-06-02 21:50:14    6.5794     7.619   3.28304   32.7029
2012-06-02 22:00:14    6.5894     8.874   3.28297   32.6920
2012-06-02 22:10:14    6.0172    40.370   3.23625   32.7071
2012-06-02 22:20:14    6.3733    22.928   3.26516   32.6951
2012-06-02 22:30:15    1.8477  2200.436   3.12637   34.5941
2012-06-02 22:40:15    1.5060  4115.811   3.17380   34.6731
2012-06-02 22:50:15    1.5101  4242.925   3.17889   34.6781
2012-06-02 23:00:15    1.5102  4245.937   3.17901   34.6782
2012-06-02 23:10:15    1.5108  4248.823   3.17915   34.6781
2012-06-02 23:20:15    1.5110  4251.333   3.17927   34.6783
2012-06-02 23:30:15    1.5106  4253.465   3.17932   34.6784
2012-06-02 23:40:15    1.5102  4254.595   3.17934   34.6786
2012-06-02 23:50:15    1.5103  4254.972   3.17935   34.6785
2012-06-03 00:00:15    1.5103  4254.846   3.17934   34.6784
2012-06-03 00:10:15    1.5105  4254.720   3.17937   34.6786
2012-06-03 00:20:15    1.5107  4254.720   3.17940   34.6788
2012-06-03 00:30:15    1.5107  4254.595   3.17939   34.6787
2012-06-03 00:40:15    1.5109  4254.595   3.17939   34.6785
2012-06-03 00:50:15    1.5107  4254.846   3.17939   34.6786
2012-06-03 01:00:15    1.5117  4255.097   3.17947   34.6784
2012-06-03 01:10:15    1.5108  4254.846   3.17941   34.6788
2012-06-03 01:20:15    1.5112  4255.097   3.17942   34.6784
2012-06-03 01:30:15    1.5111  4254.846   3.17944   34.6788
2012-06-03 01:40:15    1.5112  4255.097   3.17943   34.6785
2012-06-03 01:50:15    1.5111  4255.097   3.17945   34.6788
2012-06-03 02:00:15    1.5113  4255.222   3.17946   34.6787
2012-06-03 02:10:15    1.5111  4255.599   3.17948   34.6790
2012-06-03 02:20:15    1.5113  4255.724   3.17950   34.6790
2012-06-03 02:30:15    1.5118  4255.724   3.17951   34.6786
2012-06-03 02:40:14    1.5118  4256.226   3.17955   34.6788
2012-06-03 02:50:14    1.5120  4256.477   3.17955   34.6785
2012-06-03 03:00:14    1.5119  4256.352   3.17956   34.6788
2012-06-03 03:10:14    1.5118  4256.352   3.17955   34.6788
2012-06-03 03:20:14    1.5120  4256.226   3.17955   34.6786
2012-06-03 03:30:14    1.5117  4256.226   3.17956   34.6791
2012-06-03 03:40:14    1.5119  4256.101   3.17955   34.6788
2012-06-03 03:50:14    1.5117  4256.352   3.17956   34.6790
2012-06-03 04:00:14    1.5119  4256.477   3.17957   34.6789
2012-06-03 04:10:14    1.5119  4256.226   3.17957   34.6790
2012-06-03 04:20:14    1.5122  4256.603   3.17960   34.6789
2012-06-03 04:30:14    1.5127  4256.728   3.17963   34.6787
2012-06-03 04:40:14    1.5116  4257.355   3.17958   34.6790
2012-06-03 04:50:14    1.5111  4257.732   3.17958   34.6793
2012-06-03 05:00:14    1.5113  4257.983   3.17960   34.6793
2012-06-03 05:10:14    1.5114  4258.108   3.17958   34.6789
2012-06-03 05:20:14    1.5112  4258.736   3.17961   34.6792
2012-06-03 05:30:14    1.5112  4258.861   3.17961   34.6791
2012-06-03 05:40:14    1.5114  4259.489   3.17965   34.6791
2012-06-03 05:50:14    1.5115  4259.614   3.17967   34.6792
2012-06-03 06:00:14    1.5116  4259.614   3.17967   34.6791
2012-06-03 06:10:14    1.5112  4259.991   3.17968   34.6795
2012-06-03 06:20:14    1.5112  4260.493   3.17967   34.6792
2012-06-03 06:30:14    1.5111  4261.120   3.17970   34.6794
2012-06-03 06:40:14    1.5110  4261.622   3.17971   34.6794
2012-06-03 06:50:14    1.5109  4261.999   3.17972   34.6795
2012-06-03 07:00:14    1.5108  4262.250   3.17972   34.6795
2012-06-03 07:10:14    1.5109  4263.002   3.17974   34.6793
2012-06-03 07:20:14    1.5109  4263.629   3.17977   34.6794
2012-06-03 07:30:14    1.5109  4264.132   3.17978   34.6793
2012-06-03 07:40:14    1.5109  4264.383   3.17978   34.6792
2012-06-03 07:50:14    1.5109  4264.508   3.17978   34.6792
2012-06-03 08:00:14    1.5108  4263.880   3.17976   34.6793
2012-06-03 08:10:14    1.5106  4263.379   3.17974   34.6795
2012-06-03 08:20:14    1.5103  4262.625   3.17968   34.6794
2012-06-03 08:30:14    1.5103  4263.379   3.17973   34.6797
2012-06-03 08:40:14    1.5103  4263.253   3.17971   34.6795
2012-06-03 08:50:14    1.5106  4263.755   3.17976   34.6796
2012-06-03 09:00:14    1.5106  4263.880   3.17977   34.6796
2012-06-03 09:10:14    1.5108  4264.132   3.17979   34.6796
2012-06-03 09:20:14    1.5108  4264.633   3.17981   34.6796
2012-06-03 09:30:14    1.5105  4264.759   3.17979   34.6796
2012-06-03 09:40:14    1.5109  4264.884   3.17983   34.6796
2012-06-03 09:50:14    1.5111  4265.512   3.17986   34.6795
2012-06-03 10:00:14    1.5117  4266.014   3.17992   34.6794
2012-06-03 10:10:14    1.5116  4266.390   3.17993   34.6795
2012-06-03 10:20:15    1.5117  4266.265   3.17994   34.6796
2012-06-03 10:30:15    1.5118  4266.390   3.17994   34.6794
2012-06-03 10:40:15    1.5118  4266.642   3.17998   34.6798
2012-06-03 10:50:15    1.5119  4266.390   3.17997   34.6797
2012-06-03 11:00:15    1.5119  4265.763   3.17996   34.6798
2012-06-03 11:10:15    1.5117  4265.010   3.17991   34.6797
2012-06-03 11:20:15    1.5117  4263.504   3.17984   34.6795
2012-06-03 11:30:15    1.5117  4261.999   3.17979   34.6795
2012-06-03 11:40:15    1.5116  4261.622   3.17978   34.6796
2012-06-03 11:50:15    1.5117  4261.371   3.17977   34.6795
2012-06-03 12:00:15    1.5115  4260.242   3.17974   34.6798
2012-06-03 12:10:15    1.5116  4259.112   3.17969   34.6796
2012-06-03 12:20:15    1.5115  4258.359   3.17965   34.6795
2012-06-03 12:30:15    1.5115  4257.732   3.17964   34.6796
2012-06-03 12:40:15    1.5117  4256.854   3.17960   34.6793
2012-06-03 12:50:15    1.5116  4256.226   3.17957   34.6793
2012-06-03 13:00:15    1.5113  4255.473   3.17955   34.6797
2012-06-03 13:10:15    1.5112  4254.846   3.17951   34.6796
2012-06-03 13:20:15    1.5112  4254.344   3.17949   34.6795
2012-06-03 13:30:15    1.5111  4253.968   3.17949   34.6798
2012-06-03 13:40:15    1.5114  4253.842   3.17949   34.6795
2012-06-03 13:50:15    1.5112  4253.842   3.17947   34.6795
2012-06-03 14:00:15    1.5112  4253.842   3.17947   34.6795
2012-06-03 14:10:15    1.5112  4254.218   3.17950   34.6797
2012-06-03 14:20:15    1.5115  4254.595   3.17951   34.6794
2012-06-03 14:30:15    1.5114  4254.846   3.17954   34.6797
2012-06-03 14:40:14    1.5114  4254.972   3.17954   34.6797
2012-06-03 14:50:14    1.5114  4254.972   3.17954   34.6797
2012-06-03 15:00:14    1.5114  4254.720   3.17953   34.6796
2012-06-03 15:10:14    1.5112  4254.595   3.17952   34.6798
2012-06-03 15:20:14    1.5114  4254.344   3.17951   34.6796
2012-06-03 15:30:14    1.5114  4253.968   3.17950   34.6796
2012-06-03 15:40:14    1.5114  4254.344   3.17953   34.6798
2012-06-03 15:50:14    1.5117  4254.469   3.17953   34.6794
2012-06-03 16:00:14    1.5114  4254.218   3.17952   34.6797
2012-06-03 16:10:14    1.5115  4254.093   3.17951   34.6796
2012-06-03 16:20:14    1.5114  4253.968   3.17952   34.6798
2012-06-03 16:30:14    1.5114  4253.842   3.17952   34.6799
2012-06-03 16:40:14    1.5113  4253.968   3.17950   34.6797
2012-06-03 16:50:14    1.5112  4254.218   3.17951   34.6798
2012-06-03 17:00:14    1.5114  4254.344   3.17953   34.6798
2012-06-03 17:10:14    1.5112  4253.842   3.17950   34.6799
2012-06-03 17:20:14    1.5112  4253.842   3.17950   34.6799
2012-06-03 17:30:14    1.5113  4253.968   3.17950   34.6797
2012-06-03 17:40:14    1.5114  4254.218   3.17952   34.6797
2012-06-03 17:50:14    1.5115  4254.720   3.17953   34.6795
2012-06-03 18:00:14    1.5112  4255.473   3.17957   34.6800
2012-06-03 18:10:14    1.5114  4256.101   3.17960   34.6799
2012-06-03 18:20:14    1.5116  4257.104   3.17964   34.6798
2012-06-03 18:30:14    1.5117  4258.359   3.17970   34.6799
